name,hostelid,rate,city,url
Barmy Badger Backpackers,64746,"
                9.2
            ",London,https://www.hostelworld.com/hosteldetails.php/Barmy-Badger-Backpackers/London/64746
The Horse and Stables,81959,"
                8.2
            ",London,https://www.hostelworld.com/hosteldetails.php/The-Horse-and-Stables/London/81959
St Christopher's Camden,505,"
                8.2
            ",London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Camden/London/505
Pride of Paddington,48393,"
                7.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Pride-of-Paddington/London/48393
St Christopher's Hammersmith,20976,"
                8.2
            ",London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Hammersmith/London/20976
Dover Castle Hostel and Bar,530,"
                7.7
            ",London,https://www.hostelworld.com/hosteldetails.php/Dover-Castle-Hostel-and-Bar/London/530
Smart Russell Square Hostel,29412,"
                7.2
            ",London,https://www.hostelworld.com/hosteldetails.php/Smart-Russell-Square-Hostel/London/29412
London Backpackers,527,"
                8.2
            ",London,https://www.hostelworld.com/hosteldetails.php/London-Backpackers/London/527
Park Villa,98066,"
                8.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Park-Villa/London/98066
The London Home Hostel,80690,"
                6.1
            ",London,https://www.hostelworld.com/hosteldetails.php/The-London-Home-Hostel/London/80690
Budget London Apartments,11493,"
                7.2
            ",London,https://www.hostelworld.com/hosteldetails.php/Budget-London-Apartments/London/11493
St Christopher's Greenwich,501,"
                7.5
            ",London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Greenwich/London/501
Prime Backpackers Angel,93902,"
                8.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Prime-Backpackers-Angel/London/93902
New Cross Inn Hostel,15204,"
                8.4
            ",London,https://www.hostelworld.com/hosteldetails.php/New-Cross-Inn-Hostel/London/15204
YHA London St Pauls,6977,"
                8.6
            ",London,https://www.hostelworld.com/hosteldetails.php/YHA-London-St-Pauls/London/6977
St Christopher's Oasis-Female Only,504,"
                8.5
            ",London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Oasis-Female-Only/London/504
Strand Continental,51118,"
                7.5
            ",London,https://www.hostelworld.com/hosteldetails.php/Strand-Continental/London/51118
"PubLove @ The White Ferry, Victoria",39761,"
                8.3
            ",London,https://www.hostelworld.com/hosteldetails.php/PubLove-The-White-Ferry-Victoria/London/39761
London Waterloo Hostel,39493,"
                6.7
            ",London,https://www.hostelworld.com/hosteldetails.php/London-Waterloo-Hostel/London/39493
The Backpackshack,63112,"
                8.8
            ",London,https://www.hostelworld.com/hosteldetails.php/The-Backpackshack/London/63112
London365 Hostel,61114,"
                7.0
            ",London,https://www.hostelworld.com/hosteldetails.php/London365-Hostel/London/61114
Smart Hyde Park Inn Hostel,517,"
                7.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Smart-Hyde-Park-Inn-Hostel/London/517
St Christopher's Inn - Liverpool Street,271698,"
                8.2
            ",London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Inn-Liverpool-Street/London/271698
247london Hostel and Private Rooms,64523,"
                6.1
            ",London,https://www.hostelworld.com/hosteldetails.php/247london-Hostel-and-Private-Rooms/London/64523
"PubLove @ The Crown, Battersea",60336,"
                8.2
            ",London,https://www.hostelworld.com/hosteldetails.php/PubLove-The-Crown-Battersea/London/60336
Atlas Hostels,79008,"
                7.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Atlas-Hostels/London/79008
Via London,265813,"
                6.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Via-London/London/265813
"PubLove @ The Exmouth Arms, Euston",93796,"
                7.2
            ",London,https://www.hostelworld.com/hosteldetails.php/PubLove-The-Exmouth-Arms-Euston/London/93796
Barkston Rooms,81305,"
                6.6
            ",London,https://www.hostelworld.com/hosteldetails.php/Barkston-Rooms/London/81305
Aquarius Hotel,278554,"
                4.7
            ",London,https://www.hostelworld.com/hosteldetails.php/Aquarius-Hotel/London/278554
The Lodge at Crystal Palace,46276,"
                8.3
            ",London,https://www.hostelworld.com/hosteldetails.php/The-Lodge-at-Crystal-Palace/London/46276
Central Park Hotel,284176,"
                7.8
            ",London,https://www.hostelworld.com/hosteldetails.php/Central-Park-Hotel/London/284176
Smart Hyde Park View Hostel,8069,"
                7.8
            ",London,https://www.hostelworld.com/hosteldetails.php/Smart-Hyde-Park-View-Hostel/London/8069
EastEnd Beds,289580,"
                4.8
            ",London,https://www.hostelworld.com/hosteldetails.php/EastEnd-Beds/London/289580
"PubLove @ The Steam Engine, Waterloo",29389,"
                7.5
            ",London,https://www.hostelworld.com/hosteldetails.php/PubLove-The-Steam-Engine-Waterloo/London/29389
YHA London Thameside,7000,"
                8.7
            ",London,https://www.hostelworld.com/hosteldetails.php/YHA-London-Thameside/London/7000
The Finnish Church in London,80791,"
                9.2
            ",London,https://www.hostelworld.com/hosteldetails.php/The-Finnish-Church-in-London/London/80791
International Students  House,515,"
                8.5
            ",London,https://www.hostelworld.com/hosteldetails.php/International-Students-House/London/515
Le Junction Hostel - Pub & Garden,90013,"
                6.2
            ",London,https://www.hostelworld.com/hosteldetails.php/Le-Junction-Hostel-Pub-and-Garden/London/90013
Blue Skies Hostel,48530,"
                5.2
            ",London,https://www.hostelworld.com/hosteldetails.php/Blue-Skies-Hostel/London/48530
"PubLove @ The Green Man, Paddington",21953,"
                7.5
            ",London,https://www.hostelworld.com/hosteldetails.php/PubLove-The-Green-Man-Paddington/London/21953
Kensal Green Backpackers,4483,"
                6.2
            ",London,https://www.hostelworld.com/hosteldetails.php/Kensal-Green-Backpackers/London/4483
Paramount Hotel,290937,"
                7.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Paramount-Hotel/London/290937
Mornington Camden,285882,"
                9.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Mornington-Camden/London/285882
Heathrow Lodge,24900,"
                7.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Heathrow-Lodge/London/24900
Heathrow Hostel,64089,"
                5.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Heathrow-Hostel/London/64089
Smart Camden Inn Hostel,596,"
                6.2
            ",London,https://www.hostelworld.com/hosteldetails.php/Smart-Camden-Inn-Hostel/London/596
247 London Studios,84154,"
                9.7
            ",London,https://www.hostelworld.com/hosteldetails.php/247-London-Studios/London/84154
Kip Hotel,266789,"
                8.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Kip-Hotel/London/266789
Chester Hotel Victoria,24750,"
                6.2
            ",London,https://www.hostelworld.com/hosteldetails.php/Chester-Hotel-Victoria/London/24750
Acacia Hostel,6167,"
                6.6
            ",London,https://www.hostelworld.com/hosteldetails.php/Acacia-Hostel/London/6167
St Augustines House,291480,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/St-Augustines-House/London/291480
YHA London Earls Court,6981,"
                9.0
            ",London,https://www.hostelworld.com/hosteldetails.php/YHA-London-Earls-Court/London/6981
London Town Hotel,32376,"
                9.0
            ",London,https://www.hostelworld.com/hosteldetails.php/London-Town-Hotel/London/32376
Northfields Hostel,34115,"
                5.2
            ",London,https://www.hostelworld.com/hosteldetails.php/Northfields-Hostel/London/34115
Davies Court,45285,"
                7.6
            ",London,https://www.hostelworld.com/hosteldetails.php/Davies-Court/London/45285
Enrico Hotel,5585,"
                7.8
            ",London,https://www.hostelworld.com/hosteldetails.php/Enrico-Hotel/London/5585
Hotel Bluebells,96186,"
                9.4
            ",London,https://www.hostelworld.com/hosteldetails.php/Hotel-Bluebells/London/96186
Jaeger Acton Hostel,15584,"
                7.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Jaeger-Acton-Hostel/London/15584
Hyde Park Gate,295146,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Hyde-Park-Gate/London/295146
Best London Hostels,72053,"
                6.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Best-London-Hostels/London/72053
Chelsea House Hotel,35496,"
                8.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Chelsea-House-Hotel/London/35496
ALL STAR PRIVATE STUDIOS,24709,"
                7.0
            ",London,https://www.hostelworld.com/hosteldetails.php/ALL-STAR-PRIVATE-STUDIOS/London/24709
Mapesbury Hostel,19667,"
                5.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Mapesbury-Hostel/London/19667
MacDonald Hotel,4077,"
                7.9
            ",London,https://www.hostelworld.com/hosteldetails.php/MacDonald-Hotel/London/4077
Fairway Hotel,81121,"
                10.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Fairway-Hotel/London/81121
Marble Arch Inn,13337,"
                8.2
            ",London,https://www.hostelworld.com/hosteldetails.php/Marble-Arch-Inn/London/13337
The Crystal Lodge Hotel,96148,"
                2.9
            ",London,https://www.hostelworld.com/hosteldetails.php/The-Crystal-Lodge-Hotel/London/96148
Heathrow LHR Apartments,284380,"
                9.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Heathrow-LHR-Apartments/London/284380
CityLiveIn London Wembley,278245,"
                4.6
            ",London,https://www.hostelworld.com/hosteldetails.php/CityLiveIn-London-Wembley/London/278245
Maitrise Wembley,293956,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Maitrise-Wembley/London/293956
Elmwood Hotel,34338,"
                7.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Elmwood-Hotel/London/34338
Euro Hotel Hammersmith,83156,"
                7.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Euro-Hotel-Hammersmith/London/83156
Sara Hotel,6345,"
                8.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Sara-Hotel/London/6345
Hyde Park Court Hotel,5107,"
                2.6
            ",London,https://www.hostelworld.com/hosteldetails.php/Hyde-Park-Court-Hotel/London/5107
The Ambassador Heathrow Hotel,21896,"
                10.0
            ",London,https://www.hostelworld.com/hosteldetails.php/The-Ambassador-Heathrow-Hotel/London/21896
The W14 Hotel & Bar,50220,"
                9.4
            ",London,https://www.hostelworld.com/hosteldetails.php/The-W14-Hotel-and-Bar/London/50220
Beaconsfield,11708,"
                8.6
            ",London,https://www.hostelworld.com/hosteldetails.php/Beaconsfield/London/11708
Victor Hotel,76699,"
                7.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Victor-Hotel/London/76699
City Hotel Carlton,27551,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/City-Hotel-Carlton/London/27551
Ridgeway Hotel,82826,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Ridgeway-Hotel/London/82826
Curzon House Hotel,7240,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Curzon-House-Hotel/London/7240
London House Hotel,529,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/London-House-Hotel/London/529
23 Matheson Road,290938,"
                8.6
            ",London,https://www.hostelworld.com/hosteldetails.php/23-Matheson-Road/London/290938
Hyde Park Superior Apartments,271903,"
                6.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Hyde-Park-Superior-Apartments/London/271903
Hanover Hotel,6252,"
                8.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Hanover-Hotel/London/6252
Tony's House Hotel,8503,"
                3.4
            ",London,https://www.hostelworld.com/hosteldetails.php/Tony-s-House-Hotel/London/8503
London Wembley International Hotel,26351,"
                6.9
            ",London,https://www.hostelworld.com/hosteldetails.php/London-Wembley-International-Hotel/London/26351
Princes Square Hotel,35590,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Princes-Square-Hotel/London/35590
Imperial Court Suites,270842,"
                6.4
            ",London,https://www.hostelworld.com/hosteldetails.php/Imperial-Court-Suites/London/270842
Goddis Lodge,70632,"
                4.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Goddis-Lodge/London/70632
Revive Lodge,30189,"
                8.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Revive-Lodge/London/30189
Dean Court,101860,"
                6.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Dean-Court/London/101860
The Dover,267341,"
                10.0
            ",London,https://www.hostelworld.com/hosteldetails.php/The-Dover/London/267341
Access City,271429,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Access-City/London/271429
Best Western Boltons London Kensington,266666,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Best-Western-Boltons-London-Kensington/London/266666
Barry House,287321,"
                2.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Barry-House/London/287321
Access Camden,267890,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Access-Camden/London/267890
Kings Cross Guesthouse,81486,"
                2.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Kings-Cross-Guesthouse/London/81486
Lord Kensington Hotel,8781,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Lord-Kensington-Hotel/London/8781
Balham Lodge,19933,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Balham-Lodge/London/19933
Belgrave Hotel London,268771,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Belgrave-Hotel-London/London/268771
Access Paddington,274823,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Access-Paddington/London/274823
Access Maida Vale,274827,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Access-Maida-Vale/London/274827
Access Euston,274828,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Access-Euston/London/274828
Access Maida Vale North,274829,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Access-Maida-Vale-North/London/274829
Airways Hotel Victoria London,16289,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Airways-Hotel-Victoria-London/London/16289
Access Earl's Court,274825,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Access-Earl-s-Court/London/274825
Access Kensington Olympia,272716,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Access-Kensington-Olympia/London/272716
Accommodation London Bridge,269344,"
                0.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Accommodation-London-Bridge/London/269344
Imperial Court Studios,271904,"
                8.9
            ",London,https://www.hostelworld.com/hosteldetails.php/Imperial-Court-Studios/London/271904
Emblem Hostel Nishiarai,102785,"
                9.4
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Emblem-Hostel-Nishiarai/Tokyo/102785
Space Hostel Tokyo,91519,"
                9.1
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Space-Hostel-Tokyo/Tokyo/91519
Hop Step Inn,279329,"
                9.1
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Hop-Step-Inn/Tokyo/279329
Uno Ueno,280247,"
                9.0
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Uno-Ueno/Tokyo/280247
Sakura Hotel Nippori,277119,"
                9.5
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Sakura-Hotel-Nippori/Tokyo/277119
Planetyze Hostel,275223,"
                8.9
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Planetyze-Hostel/Tokyo/275223
Grids Tokyo Asakusa-Bashi Hotel&Hostel,280284,"
                9.2
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Grids-Tokyo-Asakusa-Bashi-Hotel-and-Hostel/Tokyo/280284
Sakura Hostel Asakusa,15725,"
                8.9
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Sakura-Hostel-Asakusa/Tokyo/15725
Oakhostel Cabin,93143,"
                8.8
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Oakhostel-Cabin/Tokyo/93143
Hostel bedgasm,272463,"
                9.5
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Hostel-bedgasm/Tokyo/272463
GRIDS TOKYO AKIHABARA HOTEL&HOSTEL,95001,"
                9.1
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/GRIDS-TOKYO-AKIHABARA-HOTEL-and-HOSTEL/Tokyo/95001
Bunka Hostel Tokyo,100416,"
                9.2
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Bunka-Hostel-Tokyo/Tokyo/100416
Imano Tokyo Ginza Hostel,279367,"
                8.9
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Imano-Tokyo-Ginza-Hostel/Tokyo/279367
Guesthouse Fete,263266,"
                9.0
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/Guesthouse-Fete/Tokyo/263266
Hostelï¼CafÃ© East57 Asakusabashi,277115,"
                8.6
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/HostelCafe-East57-Asakusabashi/Tokyo/277115
UNPLAN Shinjuku,294428,"
                9.3
            ",Tokyo,https://www.hostelworld.com/hosteldetails.php/UNPLAN-Shinjuku/Tokyo/294428
