name,hostelid,rate,city,url
MINIMAL,85839,"
                9.7
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/MINIMAL/Berlin/85839
Eastern & Western Comfort Hostelboats,11864,"
                8.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Eastern-and-Western-Comfort-Hostelboats/Berlin/11864
Viertelvier,101108,"
                9.3
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Viertelvier/Berlin/101108
Lekkerurlaub,57134,"
                9.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Lekkerurlaub/Berlin/57134
Hotel Helle Mitte Berlin,295567,"
                0.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Hotel-Helle-Mitte-Berlin/Berlin/295567
Gasteiner Hof Hotel,4963,"
                0.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Gasteiner-Hof-Hotel/Berlin/4963
Alaska Hostel Berlin,294190,"
                9.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Alaska-Hostel-Berlin/Berlin/294190
Spandau Berlin,294908,"
                0.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Spandau-Berlin/Berlin/294908
Lettem Sleep,705,"
                7.5
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Lettem-Sleep/Berlin/705
a&o Berlin Hauptbahnhof,42091,"
                7.8
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/a-and-o-Berlin-Hauptbahnhof/Berlin/42091
Hotel Big Mama,285129,"
                9.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Hotel-Big-Mama/Berlin/285129
BackpackerBerlin,23731,"
                8.8
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/BackpackerBerlin/Berlin/23731
Design Hostel P182,287577,"
                9.1
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Design-Hostel-P182/Berlin/287577
Happy Go Lucky Hotel Schoeneberg,290298,"
                8.9
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Happy-Go-Lucky-Hotel-Schoeneberg/Berlin/290298
All In Hostel/Hotel,11901,"
                7.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/All-In-Hostel-Hotel/Berlin/11901
Pension Hostel StayComfort am KurfÃ¼rstendamm,284291,"
                7.3
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Pension-Hostel-StayComfort-am-Kurfurstendamm/Berlin/284291
MEININGER Berlin Airport,57132,"
                9.5
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-Airport/Berlin/57132
Jetpak Eco Lodge,586,"
                9.3
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Jetpak-Eco-Lodge/Berlin/586
Happy Go Lucky Hotel & Hostel,61154,"
                7.8
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Happy-Go-Lucky-Hotel-and-Hostel/Berlin/61154
Inn-Berlin,23516,"
                8.9
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Inn-Berlin/Berlin/23516
Singer109 - Backpacker Apartment Hostel,27242,"
                8.3
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Singer109-Backpacker-Apartment-Hostel/Berlin/27242
Pension Intervarko,18159,"
                7.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Pension-Intervarko/Berlin/18159
acama Hotel & Hostel Kreuzberg,13695,"
                8.5
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/acama-Hotel-and-Hostel-Kreuzberg/Berlin/13695
Hostel City Bed 2,13636,"
                7.2
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Hostel-City-Bed-2/Berlin/13636
enjoy hotel Berlin City Messe,93554,"
                0.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/enjoy-hotel-Berlin-City-Messe/Berlin/93554
Corner Hostel,5754,"
                6.2
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Corner-Hostel/Berlin/5754
HappyHostelBerlin,86554,"
                6.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/HappyHostelBerlin/Berlin/86554
Hotel Cortina,14299,"
                7.2
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Hotel-Cortina/Berlin/14299
a&o Berlin Friedrichshain,719,"
                7.1
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/a-and-o-Berlin-Friedrichshain/Berlin/719
St Christopher's Apartments Berlin,17994,"
                9.3
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Apartments-Berlin/Berlin/17994
Old Town Hostel,264179,"
                9.5
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Old-Town-Hostel/Berlin/264179
Berliner Bed and Breakfast,19423,"
                9.9
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Berliner-Bed-and-Breakfast/Berlin/19423
Check In Hotel,265654,"
                8.3
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Check-In-Hotel/Berlin/265654
The Pirate Hostel,30776,"
                8.6
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/The-Pirate-Hostel/Berlin/30776
Minihostel 12Monkeys KuDamm,273361,"
                8.1
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Minihostel-12Monkeys-KuDamm/Berlin/273361
a&o Berlin Kolumbus,100737,"
                6.7
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/a-and-o-Berlin-Kolumbus/Berlin/100737
my-gayhostel,74846,"
                7.6
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/my-gayhostel/Berlin/74846
Am Stuttgarter Eck,10600,"
                5.1
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Am-Stuttgarter-Eck/Berlin/10600
Easy Lodges Berlin,284557,"
                8.3
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Easy-Lodges-Berlin/Berlin/284557
Central Inn,18215,"
                7.6
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Central-Inn/Berlin/18215
Steps Hotel Berlin,64302,"
                9.1
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Steps-Hotel-Berlin/Berlin/64302
H+ Hotel 4Youth,43551,"
                0.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/H-Hotel-4Youth/Berlin/43551
Apartment Schulz,11992,"
                9.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Apartment-Schulz/Berlin/11992
Alecsa Hotel am Olympiastadion,102012,"
                8.9
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Alecsa-Hotel-am-Olympiastadion/Berlin/102012
Albergo Hotel Berlin,25212,"
                8.9
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Albergo-Hotel-Berlin/Berlin/25212
Die Botschaft,283072,"
                9.7
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Die-Botschaft/Berlin/283072
Hotel Ingeborg,7184,"
                0.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Hotel-Ingeborg/Berlin/7184
Hotel Britzer Tor,78003,"
                0.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Hotel-Britzer-Tor/Berlin/78003
Qbe Hotel [Heizhaus] Berlin,88147,"
                5.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Qbe-Hotel-Heizhaus-Berlin/Berlin/88147
Friedi's Apartment - Beate Richter,34258,"
                0.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Friedi-s-Apartment-Beate-Richter/Berlin/34258
